Comment écrit-on 'retrouver' dans la phrase : Lucie veut '?' son chapeau.,Retrouvé,Retrouvée,Retrouver,X,C
Dans le dictionnaire que veut dire 'n. m. ' ?,Neige magique,Nom masculin,Nomination masculine,X,C
Combien de personnes parlent dans un monologue ?,1,2,3,X,A
Quel est le féminin de rédacteur ?,Rédaction,Rédactionniste,Rédactrice,X,C
Quel verbe se finit par un x à la première personne du singulier ?,Voir,Vouloir,Choir,X,B
Quel mot a le sens le plups fort ?,peur,épouvante,crainte,X,B
Que veut dire P-S ?,page significative,patronyme supplémentaire,post-scriptum,X,C
Le contraire s'appelle aussi :,antonyme,patronyme,synonyme,X,A
Dans quelle phrase le verbe est-il correctement orthographié ?,Dans le torrent nages de belles truites.,Dans le torrent nagent de belles truites.,Dans le torrent nage de belles truites.,X,B
Quelle est la bonne écriture du verbe faire à la 2e personne du pluriel du présent ?,Vous faisez,Vous faites,Vous fesez,X,B
