“Une ligne imaginaire tracée autour de la Terre la séparant en deux parties égales.” De quoi s'agit-il ?,le tropique du cancer,l'hémisphère,l'équateur,le pôle Nord,C
Lequel de ces pays est situé en Asie ?,Autriche,La Nouvelle-Zélande,Égypte,Liban,D
Lequel de ces océans est le plus grand du monde ?,Océan indien,Océan atlantique,Océan pacifique,Océan austral,C
Qu'est ce qu'un archipel ?,une grande cascade,un volcan inactif,un bras de terre dans la mer,un ensemble d'îles,D
Quelle langue parlent les habitants du Brésil ?,le français,l'espagnol,l'anglais,le portugais,D
Quels pays sont frontaliers avec l'Italie ?,La Pologne et l'Allemagne,La Suisse et l'Autriche,La Belgique et la Hongrie,La Croatie et la Slovaquie,B
Quelle phrase à propos de Sydney est correcte ?,C'est la capitale de l'Australie,C'est la ville la plus peuplée de l'Australie,C'est la ville la plus grande du monde,C'est la ville qui compte le plus de building au Monde,B
Combien de pays font partie de l'Union européenne ?,6,12,18,27,D
Laquelle de ces lignes imaginaires est perpendiculaire à l'équateur ?,Le Méridien de Greenwich,Le Tropique du Cancer,Le Tropique du Capricorne,Le Cercle polaire Arctique,A
Quel océan borde la Réunion ?,L'Océan Pacifique,L'Océan Indien,L'Océan Atlantique,L'Océan Austral,B
