Conjuguez le verbe 'manger' à la 2ème personne du singulier du présent de l'indicatif :,je mange,tu mange,tu manges,X,C
Conjuguez le verbe 'ranger' à la 1ère personne du pluriel du présent de l'indicatif :,je range,nous rangons,nous rangeons,X,C
Conjuguez le verbe 'être' à la 1ère personne du pluriel du passé simple de l'indicatif :,nous sommes,nous fûmes,nous étions,X,B
Conjuguez le verbe 'payer' à la 2ème personne du pluriel du futur de l'indicatif :,vous paierez,vous payererez,vous payrez,X,A
Conjuguez le verbe 'valoir' à la 1ère personne du singulier de l'imparfait de l'indicatif :,je vallais,je vallai,je valais,X,C
Dans la phrase « Sous ma fenêtre ouverte passent de nombreuses automobiles » quel est le sujet ?,Sous ma fenêtre ouverte,de nombreuses automobiles,passent,X,B
Dans la phrase « Sous ma fenêtre ouverte passent de nombreuses automobiles » quel est le verbe ?,Sous ma fenêtre ouverte,de nombreuses automobiles,passent,X,C
Dans la phrase « Sous ma fenêtre ouverte passent de nombreuses automobiles » quel est le complément circonstanciel ?,Sous ma fenêtre ouverte,de nombreuses automobiles,passent,X,A
Dans la phrase « Tous les matins ces automobiles font beaucoup de bruit » quel est le sujet ?,beaucoup de bruit,ces automobiles,Tous les matins,X,B
Dans quelle phrase le verbe est-il bien accordé avec son sujet ?,De la cheminée s’échappes des volutes de fumée.,De la cheminée s’échappent des volutes de fumée.,De la cheminée s’échappe des volutes de fumée.,X,B
