Cherche l'intrus dans cette liste de synonymes du nom 'bruit',vacarme,murmure,vacances,X,C
Qu'est-ce qu'un pêcheur accroche sur son hameçon pour attirer les poissons ? Pour répondre à cette question trouve le bon homonyme.,un vert de terre,un verre de terre,un ver de terre,X,C
Choisis le bon mot homonyme dans cette phrase : « Le…. de confiture est vide ».,peau,pot,Pau,X,B
Trouve le champ lexical de cette liste de mots : « pas – chaussons – classique – geste – tutu ».,danse,cinéma,théâtre,X,A
Trouve le champ lexical de cette liste de mots : « page – lire – passionnant – auteur – fantastique ».,journal,dictionnaire,livre,X,C
Trouve l'antonyme de 'soigné' dans 'un travail soigné'.,malade,bâclé,terminé,X,B
Trouve le champ lexical de cette liste de mots : « lion – otarie – agile – saut – ballon – chapiteau ».,cinéma,cirque,forêt,X,B
Dans cette phrase : « Le… chante tous les matins » le bon homonyme est « coq » ?,Vrai,Faux,X,X,A
Cherche l’intrus dans cette liste de synonymes du nom « habitation ».,demeure,logement,habitude,X,C
amer – délicieux – langue – papille – palais – vision. Dans cette liste de mots « vision » est-il un intrus ?,Vrai,Faux,X,X,A
